implementation,threads,average,stddev
mutex,1,0.010866,0.000601
mutex,2,0.032435,0.005752
mutex,4,0.030366,0.000682
mutex,8,0.034458,0.001224
rwlock,1,0.010894,0.000760
rwlock,2,0.013152,0.000833
rwlock,4,0.016372,0.002141
rwlock,8,0.019272,0.001063
serial,1,0.009591,0.000270
serial,2,0.010019,0.000286
serial,4,0.009528,0.000369
serial,8,0.010002,0.000541
