implementation,threads,average,stddev
mutex,1,4.821512,0.000000
mutex,2,5.818041,0.000000
mutex,4,6.114764,0.000000
mutex,8,6.350796,0.000000
rwlock,1,4.544669,0.000000
rwlock,2,7.513289,0.000000
rwlock,4,8.815251,0.000000
rwlock,8,9.037645,0.000000
serial,1,4.475297,0.000000
serial,2,4.460377,0.000000
serial,4,4.407637,0.000000
serial,8,4.407636,0.000000
