implementation,threads,time
serial,1,0.061309
serial,1,0.061375
serial,1,0.061414
serial,1,0.061444
serial,1,0.061441
serial,2,0.061019
serial,2,0.061128
serial,2,0.061332
serial,2,0.061142
serial,2,0.061225
serial,4,0.061192
serial,4,0.061281
serial,4,0.061334
serial,4,0.061170
serial,4,0.061119
serial,8,0.061241
serial,8,0.061582
serial,8,0.061218
serial,8,0.061402
serial,8,0.061170
mutex,1,0.062240
mutex,1,0.061895
mutex,1,0.062178
mutex,1,0.063871
mutex,1,0.062925
mutex,2,0.083572
mutex,2,0.095032
mutex,2,0.086345
mutex,2,0.084808
mutex,2,0.096904
mutex,4,0.114677
mutex,4,0.111964
mutex,4,0.102655
mutex,4,0.113626
mutex,4,0.108911
mutex,8,0.115536
mutex,8,0.115619
mutex,8,0.115956
mutex,8,0.121202
mutex,8,0.125797
rwlock,1,0.072715
rwlock,1,0.074852
rwlock,1,0.074253
rwlock,1,0.073523
rwlock,1,0.072309
rwlock,2,0.119484
rwlock,2,0.114930
rwlock,2,0.120161
rwlock,2,0.116695
rwlock,2,0.114665
rwlock,4,0.125058
rwlock,4,0.127019
rwlock,4,0.121159
rwlock,4,0.131231
rwlock,4,0.126314
rwlock,8,0.124726
rwlock,8,0.110128
rwlock,8,0.109302
rwlock,8,0.130773
rwlock,8,0.109672
